name,sym,open,close,change,percent,snr
Gold,GC=F,2501.6,2653,151.4,0.061,0.55
Hang Seng,^HSI,17862.59,21133.68,3271.09,0.183,0.52
SSE Composite,000001.SS,2832.35,3336.5,504.15,0.178,0.38
S&P/TSX Composite,^GSPTSE,23282.3,23998.13,715.83,0.031,0.26
NIFTY 50,^NSEI,25333.6,25810.85,477.25,0.019,0.23
S&P/ASX 200,^AXJO,8091.8,8269.8,178,0.022,0.21
Dow Jones Industrial Average,^DJI,41489.67,42330.15,840.48,0.02,0.17
S&P 500,^SPX,5623.89,5752.21,128.32,0.023,0.15
DAX,^GDAXI,18913.53,19324.93,411.4,0.022,0.14
NASDAQ Composite,^IXIC,17585.45,18189.17,603.72,0.034,0.13
CBOE Volatility,^VIX,15.76,16.67,0.91,0.058,0.07
Russell 2000,^RUT,2206.41,2227.54,21.13,0.01,0.03
CAC 40,^FCHI,7628.86,7635.75,6.89,0.001,0.02
Nikkei 225,^N225,39025.31,37919.55,-1105.76,-0.028,-0.02
10 Year Treasury Note Yield,^TNX,3.91,3.8,-0.11,-0.029,-0.15
US Dollar,DX-Y.NYB,101.66,100.77,-0.89,-0.009,-0.21
Crude Oil,CL=F,73.53,68.26,-5.27,-0.072,-0.25
