name,sym,open,close,change,percent,snr
Gold,GC=F,2446.7,2493.8,47.1,0.019,0.21
Hang Seng,^HSI,17327.85,17989.07,661.22,0.038,0.19
DAX,^GDAXI,18432.5,18906.92,474.42,0.026,0.1
S&P 500,^SPX,5537.84,5648.4,110.56,0.02,0.08
Dow Jones Industrial Average,^DJI,40916.96,41563.08,646.12,0.016,0.07
NIFTY 50,^NSEI,25030.95,25235.9,204.95,0.008,0.07
CAC 40,^FCHI,7478.14,7630.95,152.81,0.02,0.07
S&P/TSX Composite,^GSPTSE,23105.3,23346.2,240.9,0.01,0.05
FTSE 100,^FTSE,8368,8376.6,8.6,0.001,0.03
S&P/ASX 200,^AXJO,8092.3,8091.9,-0.4,-0,0.02
NASDAQ Composite,^IXIC,17647.03,17713.62,66.59,0.004,0.01
Nikkei 225,^N225,38781.56,38647.75,-133.81,-0.003,-0.01
CBOE Volatility,^VIX,16.2,15,-1.2,-0.074,-0.02
Russell 2000,^RUT,2253.5,2217.63,-35.87,-0.016,-0.07
Crude Oil,CL=F,78.59,73.55,-5.04,-0.064,-0.09
10 Year Treasury Note Yield,^TNX,4.05,3.91,-0.14,-0.035,-0.15
US Dollar,DX-Y.NYB,104.07,101.7,-2.37,-0.023,-0.17
SSE Composite,000001.SS,2940.12,2842.21,-97.91,-0.033,-0.25
